wallet,timestamp,time_utc,side,outcome,price,size,market
wallet_8,1773960257.0,2026-03-19 22:44:17,BUY,Down,0.3,21.75745,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960267.0,2026-03-19 22:44:27,BUY,Down,0.39,17.74532,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960273.0,2026-03-19 22:44:33,BUY,Down,0.27,17.82519,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960273.0,2026-03-19 22:44:33,SELL,Down,0.21,19.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960273.0,2026-03-19 22:44:33,SELL,Down,0.21,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960285.0,2026-03-19 22:44:45,SELL,Down,0.12,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960291.0,2026-03-19 22:44:51,SELL,Down,0.02,18.0,"Bitcoin Up or Down - March 19, 6:40PM-6:45PM ET"
wallet_8,1773960305.0,2026-03-19 22:45:05,SELL,Up,0.54,49.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960321.0,2026-03-19 22:45:21,SELL,Up,0.42,21.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960333.0,2026-03-19 22:45:33,BUY,Up,0.56,22.65091,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960333.0,2026-03-19 22:45:33,BUY,Up,0.56,22.65091,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960333.0,2026-03-19 22:45:33,BUY,Up,0.5578428571428572,20.6806,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960341.0,2026-03-19 22:45:41,BUY,Up,0.5539857142857143,20.67949,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960341.0,2026-03-19 22:45:41,SELL,Up,0.54,20.99,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960343.0,2026-03-19 22:45:43,SELL,Up,0.49,24.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960349.0,2026-03-19 22:45:49,SELL,Up,0.41,23.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960349.0,2026-03-19 22:45:49,SELL,Up,0.41,47.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960357.0,2026-03-19 22:45:57,SELL,Up,0.36,21.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
wallet_8,1773960375.0,2026-03-19 22:46:15,SELL,Up,0.31,23.0,"Bitcoin Up or Down - March 19, 6:45PM-6:50PM ET"
